mse,ssim,vif-p,psnr-b,psnr,original_image_size,compressed_image_size,compression_ratio,experiment_name,model_name
477.15242,0.5738482738976014,0.19885427814191312,22.63731777372857,21.34423230064226,750144,500352,0.6670079344765805,autoencoder,AutoEncoderModel
369.42140185185184,0.6383262639364183,0.24293784490151527,22.533529572933467,22.45558308862444,540144,360352,0.6671406143546906,autoencoder,AutoEncoderModel
97.30856487025949,0.8267938779414828,0.32132039713382676,27.607885525605518,28.24929293341711,501144,332352,0.6631866289928643,autoencoder,AutoEncoderModel
808.778884751773,0.6297036550252301,0.22192225072811925,20.12254435764042,19.052505565088705,564144,376352,0.667120451515925,autoencoder,AutoEncoderModel
186.4126866267465,0.637541238275003,0.20458583883565984,25.44718965298329,25.426048952077874,501144,332352,0.6631866289928643,autoencoder,AutoEncoderModel
121.73662851405622,0.8600351894994217,0.4499428590255469,26.85084984431667,27.276590910344325,498144,332352,0.667180574291771,autoencoder,AutoEncoderModel
499.1739139139139,0.6821805973701108,0.2589007459607171,24.14305629687639,21.148284791840393,499648,332352,0.6651722812860253,autoencoder,AutoEncoderModel
303.5487670682731,0.8130577726452914,0.32676480282104453,23.285032723081084,23.308518876402733,498144,332352,0.667180574291771,autoencoder,AutoEncoderModel
817.3096335403727,0.546232932028972,0.16588139627076218,19.27444362168511,19.006937429367913,483144,320352,0.6630569768019472,autoencoder,AutoEncoderModel
191.70325925925926,0.7693059345400397,0.29897099087347634,25.314800288942237,25.304508642325256,499648,332352,0.6651722812860253,autoencoder,AutoEncoderModel
526.8150690690691,0.6547542939063086,0.2328492493843319,20.58230293754753,20.914221717992262,499648,332352,0.6651722812860253,autoencoder,AutoEncoderModel
267.8070964660936,0.7523002698388703,0.2989199944842454,24.295793661781016,23.852582799199574,523648,348352,0.6652407724272794,autoencoder,AutoEncoderModel
273.43599800399204,0.8475528151497372,0.35440055673358223,24.041785380748316,23.76224671757712,501144,332352,0.6631866289928643,autoencoder,AutoEncoderModel
188.72328378378378,0.7486437256309655,0.3093104685220741,25.013959041657227,25.372548762037578,222144,148352,0.6678190723134544,autoencoder,AutoEncoderModel
461.84698356807513,0.787504373107899,0.361960768943751,22.135802222060104,21.485822493797855,426144,284352,0.667267402568146,autoencoder,AutoEncoderModel
245.5420820820821,0.8692117453725917,0.3695538954007174,24.714351584167908,24.229544267313923,499648,332352,0.6651722812860253,autoencoder,AutoEncoderModel
197.00984939759036,0.7489670451080711,0.31467038554610643,25.01588804798618,25.185924218530424,498144,332352,0.667180574291771,autoencoder,AutoEncoderModel
337.2162189300412,0.789331565760233,0.2551956634495438,22.687125584478608,22.851719063552245,607648,404352,0.6654378850913687,autoencoder,AutoEncoderModel
1025.0741124497993,0.7011708584979753,0.2096494479035046,18.019654288077174,18.023250950230448,498144,332352,0.667180574291771,autoencoder,AutoEncoderModel
949.7760088888889,0.5643687027549453,0.15521667940532513,18.38193194732648,18.354591656564047,562648,372352,0.6617849881275683,autoencoder,AutoEncoderModel
1441.95662,0.63444634917331,0.28759739236525195,22.427901907991274,16.541281656564905,750144,500352,0.6670079344765805,autoencoder,AutoEncoderModel
1123.794752,0.5396638070959541,0.1435007520825386,17.767415902070837,17.623933612125736,562648,372352,0.6617849881275683,autoencoder,AutoEncoderModel
316.8794514514515,0.6819984791537165,0.2308612378993388,23.03761703421623,23.121862832761863,499648,332352,0.6651722812860253,autoencoder,AutoEncoderModel
171.16644622222222,0.7762344371143121,0.16890486798709747,24.425676068129754,25.79661726979694,562648,372352,0.6617849881275683,autoencoder,AutoEncoderModel
379.6375928888889,0.7172889178767946,0.25808354071159856,23.28391819680879,22.337111498001367,562648,372352,0.6617849881275683,autoencoder,AutoEncoderModel
694.2605171208945,0.7069188062650817,0.23147383054271753,19.687867124939096,19.715578934136037,243416,159616,0.6557333946823545,autoencoder,AutoEncoderModel
184.17812232415903,0.7317237778769244,0.18292313893120724,25.557437825142838,25.478423197963494,490648,324352,0.6610686276108331,autoencoder,AutoEncoderModel
167.90237,0.8707866463985122,0.46326196277476855,26.851081967708197,25.88023534469839,600144,400352,0.6670932309579034,autoencoder,AutoEncoderModel
349.86558918918917,0.588813389585712,0.18747261528413786,22.492806549993976,22.69179131046203,555144,368352,0.6635251394232847,autoencoder,AutoEncoderModel
366.42372569444444,0.7594667209760265,0.29073001617198685,22.232625322888264,22.490967746805506,576144,384352,0.6671110000277708,autoencoder,AutoEncoderModel
867.9473333333333,0.47054654161765264,0.1251908010943417,19.058885698279493,18.745869876921752,562648,372352,0.6617849881275683,autoencoder,AutoEncoderModel
324.3095238095238,0.5237022958488589,0.1704195287613827,24.363573847708786,23.02120658333727,703648,468352,0.6656055300377461,autoencoder,AutoEncoderModel
838.6263232323232,0.6201250007216904,0.17383802562978415,19.84158914545913,18.89511870728903,495144,328352,0.6631444589856688,autoencoder,AutoEncoderModel
87.22704504504505,0.8633473535035033,0.3731285673266866,28.560069252501357,28.724292005595494,499648,332352,0.6651722812860253,autoencoder,AutoEncoderModel
209.6952121212121,0.8205641666741542,0.31608086395875096,25.165293766005455,24.9149184634475,577648,384352,0.6653740686369554,autoencoder,AutoEncoderModel
1530.665814307458,0.39711733458116744,0.11359509552443096,17.990201821342232,16.28199978036726,328648,216352,0.6583091940313041,autoencoder,AutoEncoderModel
167.8458173817382,0.8488031038508884,0.3957431546242325,26.3229609968339,25.881698375100555,454648,300352,0.6606253629181257,autoencoder,AutoEncoderModel
