mse,ssim,vif-p,psnr-b,psnr,original_image_size,compressed_image_size,compression_ratio,experiment_name,model_name
246.060596,0.6634401773576338,0.21616599368957537,24.527230298736036,24.220382892614907,750144,304288,0.40563945055882605,pca_0.1_components,PCAModel
218.66546666666667,0.738519004450732,0.27299271823058346,24.86596164088319,24.733001595418283,540144,262288,0.4855890281110222,pca_0.1_components,PCAModel
22.650353293413172,0.8895427180814317,0.44937180886708056,34.34931832332087,34.58005380471236,501144,254488,0.5078141212904874,pca_0.1_components,PCAModel
552.2834113475177,0.6421043441584696,0.1903249160756587,20.129617195516172,20.709183621280843,564144,198016,0.35100258090133013,pca_0.1_components,PCAModel
78.74081037924152,0.7809671102163688,0.2926205722647305,29.1099887306303,29.168804807487035,501144,254488,0.5078141212904874,pca_0.1_components,PCAModel
113.16827108433735,0.7914967217524747,0.32921694165850146,27.331838418922793,27.593556798152193,498144,168016,0.3372839982013233,pca_0.1_components,PCAModel
164.1086246246246,0.7004995222643521,0.23747211506513222,25.606906291042108,25.979489551441482,499648,168256,0.3367490713462277,pca_0.1_components,PCAModel
156.40239759036146,0.7914488903984358,0.3314055838756675,25.702780313522506,26.188369545207898,498144,253888,0.5096678871972763,pca_0.1_components,PCAModel
432.7497763975155,0.679451068843968,0.22899549823921142,21.96182562202123,21.76843508721057,483144,250888,0.5192820359975494,pca_0.1_components,PCAModel
147.0657257257257,0.7069892899644871,0.21366685892206347,26.42659800072872,26.45568890469232,499648,168256,0.3367490713462277,pca_0.1_components,PCAModel
308.25546146146144,0.6920637311028909,0.2755593812930035,22.976086634591372,23.24169580996527,499648,254200,0.508758165748687,pca_0.1_components,PCAModel
85.25394842406877,0.8914026014918289,0.4288586482690873,29.247351331568254,28.823658589620166,523648,259000,0.49460706428746026,pca_0.1_components,PCAModel
80.43315369261477,0.866793023381678,0.4429991667796381,28.875725552966166,29.076452636380896,501144,254488,0.5078141212904874,pca_0.1_components,PCAModel
56.36231981981982,0.8896534476823218,0.44964847551345105,30.558698764349614,30.620915009122648,222144,198688,0.8944108326130799,pca_0.1_components,PCAModel
243.8987042253521,0.7679792737327963,0.31641246641509535,23.699251641160544,24.25870867849277,426144,134704,0.31609972215964555,pca_0.1_components,PCAModel
75.83616016016016,0.8712079786646036,0.3937321362694859,29.68781362581781,29.332040257714418,499648,168256,0.3367490713462277,pca_0.1_components,PCAModel
104.16586546184739,0.7965957859357057,0.341158274902656,27.950122526473674,27.95354934325111,498144,253888,0.5096678871972763,pca_0.1_components,PCAModel
204.93778600823046,0.7765332881448082,0.2901158849465391,24.963398628912223,25.014583207589062,607648,220936,0.3635920796250461,pca_0.1_components,PCAModel
379.98972289156626,0.861845411790105,0.2951078759051497,21.99780832074309,22.333085099138334,498144,253888,0.5096678871972763,pca_0.1_components,PCAModel
404.25750755555555,0.7242005035360072,0.27711741003132045,22.055639531261537,22.06422266835731,562648,266800,0.4741863474143692,pca_0.1_components,PCAModel
209.12786933333334,0.7212124498037005,0.2847519398750631,26.235175117304003,24.926684481307667,750144,304288,0.40563945055882605,pca_0.1_components,PCAModel
382.5920408888889,0.744614458292109,0.2603962684772915,22.543381294179802,22.303444297662573,562648,266800,0.4741863474143692,pca_0.1_components,PCAModel
165.2463083083083,0.741321968313443,0.2818016410905686,25.92348706205611,25.949485949749196,499648,254200,0.508758165748687,pca_0.1_components,PCAModel
18.824544,0.8933829364143565,0.380943919177279,35.58692348648868,35.3835589608454,562648,266800,0.4741863474143692,pca_0.1_components,PCAModel
104.50506311111111,0.8166019631189654,0.3604258842915513,28.958198643481605,27.939430290050502,562648,266800,0.4741863474143692,pca_0.1_components,PCAModel
50.548279689234185,0.9129679622115221,0.5163432774137005,31.344713821056203,31.093739810434823,243416,109816,0.451145364314589,pca_0.1_components,PCAModel
