mse,ssim,vif-p,psnr-b,psnr,original_image_size,compressed_image_size,compression_ratio,experiment_name,model_name
218.50905466666666,0.7600835094787232,0.2784485656884534,24.6671703882515,24.7361092271803,750144,94136,0.12549057247675113,kmeans_w4_2000,KMeansModel
238.8729277777778,0.7525752981015339,0.28301192239744655,24.206298522453686,24.34913428292355,540144,67888,0.1256850025178471,kmeans_w4_2000,KMeansModel
41.10942115768463,0.8804341016791053,0.3970830166652708,31.18481139717725,31.991389991396957,501144,63416,0.1265424708267484,kmeans_w4_2000,KMeansModel
356.5705390070922,0.8118469347535832,0.302455967864127,22.1105039783422,22.609349033387485,564144,70888,0.1256558609149437,kmeans_w4_2000,KMeansModel
98.85534331337325,0.7599159488507005,0.270765641743805,27.54737228853528,28.180802121671682,501144,63416,0.1265424708267484,kmeans_w4_2000,KMeansModel
68.39429116465864,0.8940449078077952,0.45077640194977775,29.135475327199586,29.78060507965887,498144,62640,0.12574677201772982,kmeans_w4_2000,KMeansModel
109.8142022022022,0.8372892957886676,0.35913183179385166,27.102761778179485,27.724218500873317,499648,63384,0.12685730754451133,kmeans_w4_2000,KMeansModel
223.39115060240965,0.7463029936537958,0.32037651124335165,24.295803094050214,24.640143958513626,498144,62640,0.12574677201772982,kmeans_w4_2000,KMeansModel
459.59953209109733,0.7741549520352028,0.27527533762158884,21.52452708087123,21.50700782997785,483144,61168,0.12660407663139767,kmeans_w4_2000,KMeansModel
120.46824624624625,0.8036547828188008,0.30358530578491255,27.07940767619272,27.322077728563148,499648,63384,0.12685730754451133,kmeans_w4_2000,KMeansModel
291.79507707707705,0.7828521827096114,0.304447719889616,22.99193872918769,23.480024003025797,499648,63384,0.12685730754451133,kmeans_w4_2000,KMeansModel
106.85778605539637,0.8899374214747245,0.42571412999156366,28.126234720422282,27.842741889050306,523648,66384,0.12677218284038133,kmeans_w4_2000,KMeansModel
104.00661676646706,0.9142489990445224,0.46755548220186255,27.326467106107902,27.960193914368745,501144,63416,0.1265424708267484,kmeans_w4_2000,KMeansModel
119.9859099099099,0.8440750341728762,0.34872204830873926,26.722346279623235,27.3395011155076,222144,28136,0.12665658311725728,kmeans_w4_2000,KMeansModel
146.73801877934272,0.8535855722848025,0.44180768913946356,25.701404774924818,26.46537709826903,426144,53640,0.12587294435683713,kmeans_w4_2000,KMeansModel
83.70751951951952,0.9001330073633205,0.40491971723915254,28.56146766865166,28.903158880699934,499648,63384,0.12685730754451133,kmeans_w4_2000,KMeansModel
109.12331526104418,0.8205251289546744,0.34464516997059597,27.42938775106909,27.751628091117183,498144,62640,0.12574677201772982,kmeans_w4_2000,KMeansModel
172.16112427983538,0.8738439053818974,0.33408659766111914,25.348821603325614,25.771452707586228,607648,76888,0.12653378271630944,kmeans_w4_2000,KMeansModel
556.4300642570281,0.8096551370459389,0.27364296800310456,20.657631428839238,20.67669773717219,498144,62640,0.12574677201772982,kmeans_w4_2000,KMeansModel
415.4423608888889,0.8344620028121392,0.3245616393754039,21.972364824234276,21.945695832515838,562648,70920,0.12604683567701297,kmeans_w4_2000,KMeansModel
187.605816,0.7956800402847612,0.3523077361840376,26.188676914714726,25.398340629786276,750144,94136,0.12549057247675113,kmeans_w4_2000,KMeansModel
319.699216,0.8313201944022782,0.32335322216653567,23.133724001740752,23.083387896174653,562648,70920,0.12604683567701297,kmeans_w4_2000,KMeansModel
185.11923323323325,0.747277056072381,0.2908491718530137,25.474545477234184,25.456288181110644,499648,63384,0.12685730754451133,kmeans_w4_2000,KMeansModel
43.50901511111111,0.8495840035954066,0.301806118638684,31.127268893320064,31.745011083417033,562648,70920,0.12604683567701297,kmeans_w4_2000,KMeansModel
102.45468266666667,0.8891866383003176,0.40881198459269874,28.735643989504315,28.02548548352079,562648,70920,0.12604683567701297,kmeans_w4_2000,KMeansModel
75.70837341225798,0.9240386950991316,0.5022208043177435,28.507840896910267,29.33936445362165,243416,31144,0.12794557465409012,kmeans_w4_2000,KMeansModel
107.99686034658512,0.7785756313313726,0.24204097455058649,27.485011184630817,27.796692308807117,490648,61920,0.12620045327811383,kmeans_w4_2000,KMeansModel
79.30856,0.9090655920441888,0.46821809273990916,29.00261103748047,29.13760296373328,600144,75384,0.12560985363512758,kmeans_w4_2000,KMeansModel
164.4412072072072,0.7569532345335603,0.28357990372612835,25.49285002284926,25.970697044750924,555144,70168,0.1263960341821221,kmeans_w4_2000,KMeansModel
246.14422743055556,0.8203924512590256,0.3125884282881723,23.810827782201116,24.218907057051155,576144,72384,0.1256352578522036,kmeans_w4_2000,KMeansModel
332.6005333333333,0.8036361815100531,0.30980764957649026,22.68840151668366,22.9115741958171,562648,70920,0.12604683567701297,kmeans_w4_2000,KMeansModel
165.28726936744846,0.7074483167931161,0.25815149269790677,26.865966082652932,25.94840955913414,703648,88888,0.12632452589931328,kmeans_w4_2000,KMeansModel
280.0634767676768,0.8158946584570153,0.30372085434310075,23.061263745258785,23.65823884934345,495144,62672,0.1265732796923723,kmeans_w4_2000,KMeansModel
86.94696496496496,0.5880630296683306,0.35713075650862747,28.338767266235475,28.73825934068835,499648,63384,0.12685730754451133,kmeans_w4_2000,KMeansModel
102.91942857142857,0.8650526394496189,0.36508960629208714,27.770649115738777,28.00582994609861,577648,73136,0.12660997701022075,kmeans_w4_2000,KMeansModel
286.91465449010656,0.7733906708380603,0.2873123412554388,22.683851850261725,23.55327629974118,328648,41672,0.12679827657554588,kmeans_w4_2000,KMeansModel
